regDate,amount_grade,allpay_grade,pay_grade,year
2023-08-01 00:00:00-2023-07-01 00:00:00,-86377,-175573000,-381.41614538136446,2023
2023-07-01 00:00:00-2023-06-01 00:00:00,33830,135960000,763.6069957987411,2023
2023-06-01 00:00:00-2023-05-01 00:00:00,72960,71759000,-280.2339620158832,2023
2023-05-01 00:00:00-2023-04-01 00:00:00,23590,31925000,-445.3508030431108,2023
2023-04-01 00:00:00-2023-03-01 00:00:00,-787,-2260000,-984.1306884480746,2023
2023-03-01 00:00:00-2023-02-01 00:00:00,-303,-932000,-76.2141391381324,2023
2023-02-01 00:00:00-2023-01-01 00:00:00,-2270,-6589000,-27.993364833618216,2023
2023-01-01 00:00:00-2022-12-01 00:00:00,3430,9907000,2888.338192419825,2023
2022-12-01 00:00:00-2022-11-01 00:00:00,-21050,-21267000,-1010.3087885985748,2022
2022-11-01 00:00:00-2022-10-01 00:00:00,-110390,-151798500,-306.37943416466317,2022
2022-10-01 00:00:00-2022-09-01 00:00:00,-138133,-219444000,-139.3533689391952,2022
2022-09-01 00:00:00-2022-08-01 00:00:00,90763,-52869500,-1034.7531065806604,2022
2022-08-01 00:00:00-2022-07-01 00:00:00,38125,98230500,23.23596778588353,2022
2022-07-01 00:00:00-2022-06-01 00:00:00,74105,256856500,1111.4157446155639,2022
2022-06-01 00:00:00-2022-05-01 00:00:00,41960,57098500,7.909842096105649,2022
2022-05-01 00:00:00-2022-04-01 00:00:00,9090,5675000,-423.7243578242469,2022
2022-04-01 00:00:00-2022-03-01 00:00:00,1390,1707500,-53.431465858388265,2022
2022-03-01 00:00:00-2022-02-01 00:00:00,3610,1601500,-473.70884829630654,2022
2022-02-01 00:00:00-2022-01-01 00:00:00,-2560,-3321500,195.8892596147498,2022
2022-01-01 00:00:00-2021-12-01 00:00:00,10220,21244000,-87.38377834504126,2022
2021-12-01 00:00:00-2021-11-01 00:00:00,-19695,-69492500,-1167.6837567970501,2021
2021-11-01 00:00:00-2021-10-01 00:00:00,-58807,-64128000,1638.9193100894447,2021
2021-10-01 00:00:00-2021-09-01 00:00:00,-180276,-237575500,276.6436704581731,2021
2021-09-01 00:00:00-2021-08-01 00:00:00,6498,66686500,224.61983228055715,2021
2021-08-01 00:00:00-2021-07-01 00:00:00,-23779,-12725500,58.221052915211885,2021
2021-07-01 00:00:00-2021-06-01 00:00:00,136278,134486100,-165.29128539785847,2021
2021-06-01 00:00:00-2021-05-01 00:00:00,112082,130438100,-591.7392336642577,2021
2021-05-01 00:00:00-2021-04-01 00:00:00,26148,49001000,-253.82785932520824,2021
2021-04-01 00:00:00-2021-03-01 00:00:00,3076,7355300,504.1878530063934,2021
2021-03-01 00:00:00-2021-02-01 00:00:00,1115,2030500,749.1514465815419,2021
2021-02-01 00:00:00-2021-01-01 00:00:00,230,211000,917.391304347826,2021
2021-01-01 00:00:00-2020-12-01 00:00:00,-330,-399000,-1209.090909090909,2021
2020-12-01 00:00:00-2020-11-01 00:00:00,-14540,-17519500,4.080821666564589,2020
2020-11-01 00:00:00-2020-10-01 00:00:00,-105278,-72884500,449.2505242189644,2020
2020-10-01 00:00:00-2020-09-01 00:00:00,-82334,-355498000,-1448.3919169261872,2020
2020-09-01 00:00:00-2020-08-01 00:00:00,48837,136843000,190.04103071895997,2020
2020-08-01 00:00:00-2020-07-01 00:00:00,-34185,143184500,1128.8764612318053,2020
2020-07-01 00:00:00-2020-06-01 00:00:00,65650,11722000,-379.71526701644825,2020
2020-06-01 00:00:00-2020-05-01 00:00:00,117860,151804500,629.0696255676204,2020
2020-05-01 00:00:00-2020-04-01 00:00:00,3480,2041500,-204.00132275132273,2020
2020-04-01 00:00:00-2020-03-01 00:00:00,-460,-694500,-237.0421245421245,2020
2020-03-01 00:00:00-2020-02-01 00:00:00,-40,-2115000,-1546.2112514351322,2020
2020-02-01 00:00:00-2020-01-01 00:00:00,-1380,-293000,1223.1343283582091,2020
