DATE,거래단위,평균가격(원),총거래물량(kg),총거래금액(원),시장명,법인명,품목명,품종명,산지명,산지시군명,등급명
2023-08,10kg상자,17076.52173913044,3450.0,5891400,광주,광주중앙청과,오이,가시오이,전북,장수군,특
2023-08,10kg상자,10913.05970149254,2680.0,2924700,광주,광주원협(공),오이,가시오이,전북,장수군,특
2023-08,10kg파렛트,13982.64150943396,2650.0,3705400,광주,광주청과,오이,가시오이,전북,장수군,특
2023-08,10kg상자,17545.88235294117,1700.0,2982800,광주,광주중앙청과,오이,가시오이,전북,정읍시,특
2023-08,10kg상자,9561.538461538461,1300.0,1243000,광주,광주청과,오이,가시오이,전북,장수군,특
2023-08,10kg상자,5649.586776859504,1210.0,683600,광주,광주원협(공),오이,가시오이,전북,장수군,상
2023-08,10kg파렛트,9341.02564102564,780.0,728600,광주,광주청과,오이,가시오이,전북,장수군,상
2023-08,10kg상자,8260.526315789473,760.0,627800,광주,광주중앙청과,오이,가시오이,전북,장수군,상
2023-08,10kg상자,4746.153846153846,260.0,123400,광주,광주청과,오이,가시오이,전북,장수군,상
2023-08,10kg상자,5838.888888888889,180.0,105100,광주,광주중앙청과,오이,가시오이,전북,장수군,보통
2023-08,10kg파렛트,12266.66666666667,120.0,147200,광주,광주청과,오이,가시오이,전북,무주군,특
2023-08,10kg상자,18945.45454545454,110.0,208400,광주,광주중앙청과,오이,가시오이,전남,구례군,특
2023-08,10kg파렛트,9600,70.0,67200,광주,광주청과,오이,가시오이,전북,장수군,보통
2023-08,10kg상자,2900,60.0,17400,광주,광주청과,오이,가시오이,전북,장수군,보통
2023-08,10kg상자,5000,50.0,25000,광주,광주중앙청과,오이,가시오이,전북,정읍시,상
2023-08,10kg상자,2000,20.0,4000,광주,광주원협(공),오이,가시오이,전북,무주군,특
2023-08,10kg상자,2000,10.0,2000,광주,광주청과,오이,가시오이,전북,무주군,특
2023-07,10kg상자,14226.33744855967,19440.0,27656000,광주,광주중앙청과,오이,가시오이,전북,장수군,특
2023-07,10kg파렛트,18163.04533789564,11690.0,21232600,광주,광주청과,오이,가시오이,전북,장수군,특
2023-07,10kg상자,18162.97142857143,8750.0,15892600,광주,광주중앙청과,오이,가시오이,전북,정읍시,특
2023-07,10kg상자,13257.46887966805,4820.0,6390100,광주,광주원협(공),오이,가시오이,전북,장수군,특
2023-07,10kg상자,7747.457627118644,2950.0,2285500,광주,광주중앙청과,오이,가시오이,전북,장수군,상
2023-07,10kg파렛트,11049.43820224719,2670.0,2950200,광주,광주청과,오이,가시오이,전북,장수군,상
2023-07,10kg상자,10033.19502074689,2410.0,2418000,광주,광주원협(공),오이,가시오이,전라남도,해남군,특
2023-07,10kg상자,6311.607142857143,1120.0,706900,광주,광주원협(공),오이,가시오이,전북,장수군,상
2023-07,10kg상자,10892.45283018868,1060.0,1154600,광주,광주중앙청과,오이,가시오이,전북,정읍시,상
2023-07,10kg상자,13155,1000.0,1315500,광주,광주중앙청과,오이,가시오이,전남,구례군,특
2023-07,10kg상자,4854.545454545455,990.0,480600,광주,광주원협(공),오이,가시오이,전라남도,해남군,상
2023-07,10kg상자,11162.88659793814,970.0,1082800,광주,광주청과,오이,가시오이,전북,장수군,특
2023-07,10kg상자,11348.23529411765,850.0,964600,광주,광주원협(공),오이,가시오이,전남,강진군,특
2023-07,10kg상자,6396.153846153846,520.0,332600,광주,광주중앙청과,오이,가시오이,전북,장수군,보통
2023-07,10kg상자,4631.818181818182,440.0,203800,광주,광주중앙청과,오이,가시오이,전남,구례군,상
2023-07,10kg상자,7378.378378378378,370.0,273000,광주,광주청과,오이,가시오이,전북,장수군,상
2023-07,10kg파렛트,15602.77777777778,360.0,561700,광주,광주청과,오이,가시오이,전북,무주군,특
2023-07,10kg상자,7100,340.0,241400,광주,광주중앙청과,오이,가시오이,충남,금산군,특
2023-07,10kg상자,5966.666666666668,300.0,179000,광주,광주원협(공),오이,가시오이,전남,강진군,상
2023-07,10kg파렛트,7379.166666666668,240.0,177100,광주,광주청과,오이,가시오이,전북,장수군,보통
2023-07,10kg상자,10000,170.0,170000,광주,광주원협(공),오이,가시오이,전남,해남군,상
2023-07,10kg상자,6466.666666666668,150.0,97000,광주,광주원협(공),오이,가시오이,전북,무주군,특
2023-07,10kg상자,8821.42857142857,140.0,123500,광주,광주중앙청과,오이,가시오이,전남,구례군,4등
2023-07,10kg상자,10600,130.0,137800,광주,광주중앙청과,오이,가시오이,전남,장성군,특
2023-07,10kg파렛트,15200,110.0,167200,광주,광주중앙청과,오이,가시오이,강원,횡성군,특
2023-07,10kg상자,4818.181818181818,110.0,53000,광주,광주원협(공),오이,가시오이,전북,무주군,상
2023-07,10kg상자,3000,100.0,30000,광주,광주원협(공),오이,가시오이,광주,북구,특
2023-07,10kg파렛트,16666.66666666667,90.0,150000,광주,광주청과,오이,가시오이,전북,무주군,상
2023-07,10kg상자,5277.777777777777,90.0,47500,광주,광주원협(공),오이,가시오이,전남,목포시,상
2023-07,10kg상자,6000,60.0,36000,광주,광주중앙청과,오이,가시오이,전남,나주시,특
2023-07,10kg상자,3000,50.0,15000,광주,광주중앙청과,오이,가시오이,충남,금산군,상
2023-07,10kg상자,15000,40.0,60000,광주,광주원협(공),오이,가시오이,전남,목포시,특
2023-07,10kg상자,3500,40.0,14000,광주,광주원협(공),오이,가시오이,전북,장수군,5등
2023-07,10kg상자,2100,30.0,6300,광주,광주중앙청과,오이,가시오이,전북,장수군,4등
2023-07,10kg상자,22200,20.0,44400,광주,광주청과,오이,가시오이,전북,무주군,특
2023-07,10kg파렛트,2000,20.0,4000,광주,광주청과,오이,가시오이,전북,남원시,특
2023-07,10kg상자,10000,10.0,10000,광주,광주중앙청과,오이,가시오이,전북,정읍시,보통
2023-07,10kg파렛트,9000,10.0,9000,광주,광주중앙청과,오이,가시오이,강원,평창군,특
2023-07,10kg상자,2000,10.0,2000,광주,광주청과,오이,가시오이,전북,남원시,특
2023-06,10kg상자,19777.11598746082,9570.0,18926700,광주,광주중앙청과,오이,가시오이,전남,구례군,특
2023-06,10kg상자,18717.24310776942,3990.0,7468180,광주,광주중앙청과,오이,가시오이,전북,정읍시,특
2023-06,10kg상자,13761.06870229008,2620.0,3605400,광주,광주중앙청과,오이,가시오이,전북,정읍시,상
2023-06,10kg파렛트,14204.78087649402,2510.0,3565400,광주,광주청과,오이,가시오이,전북,장수군,특
