Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2020-02,-708318.5,-1748310490,-121.58719226102994,74662.90000000014,-309731178,-236.46614895380742,-76451.5,-193866100,-172.01151276116798,-126997.3999999999,-356455264,-153.2491175897286,-60911.0,-197087730,-159.44737577468334
2020-03,354805.0,-909142700,-132.6712451352381,48616.700000000186,-180726900,-130.4283745500719,-202476.5,-212420370,-98.47233734709857,112772.0,-74004167,-100.63183374676498,13813.0,-114569070,-142.00006610025446
2020-04,-879697.0,277465790,109.73871484761776,-60682.50000000023,-26160412,10.06605720919356,108998.0,76444120,-2.2650897023108882,-285766.0,18255163,162.69275514534468,-52664.0,30720350,78.43044759871725
2020-05,-328488.0,2721582390,378.5809968273419,-230645.2999999998,348280193,364.909461536447,-182141.0,-38118100,220.93791242013288,121704.0,636985968,359.38710398355533,-105988.0,217520400,406.8850359278439
2020-06,13060.5,1007461890,125.31702987119229,-110722.40000000014,10357066,100.18770735409043,-35151.09999999998,15425470,127.22910237895621,-248165.0,-51457058,206.45519707809967,-21207.0,119072520,203.34575544301833
2020-07,182692.59999999963,85716790,-19.306406854905617,122587.49999999977,86384584,-40.92017867253139,26110.29999999999,31409400,9.241157886729297,-48486.0,-257956384,-159.4562596832625,-6857.0,-146359490,-196.57489092166747
2020-08,-732003.7999999998,4822083600,784.4892473651371,-51710.39999999991,632999691,506.83391600123787,-84932.20000000001,101328730,600.2984593634658,-35236.19999999995,763166098,705.409823257078,100568.5,464263270,437.0519603922878
2020-09,1517377.7000000002,4760088990,178.86226918162856,236437.30000000005,1017830366,392.9574168980123,146010.5,394786600,324.16267102915344,108683.19999999995,1143559916,739.897714081266,191275.5,697776090,398.89211971777445
2020-10,-798123.0,-1215170260,73.68512121203412,-263003.30000000005,-520904789,10.96848498464351,-70475.5,-134559400,14.969605257950889,-112490.5,-701141435,-345.83403063220567,-280238.5,-384816090,241.08492076877837
2020-11,990379.0,1682426020,-70.26382874701176,150515.90000000014,362646642,36.59391874776952,-9366.0,-62765450,-113.81805988661085,358493.0,882914439,20.61149366604468,15386.5,78018290,60.43121521475632
2020-12,183375.80000000075,-5384453500,-626.6092574632869,117879.8999999999,-225586939,-293.2961385510928,566615.0,845675700,-239.0456666675725,12467.0,-1143469228,-775.6065922973191,115788.0,-171119470,-518.3902564884381
2021-01,-1016105.5000000009,8986454790,1293.2320576970099,-306607.99999999977,701336696,961.7400668912189,-268526.0,28601940,691.4238296759779,-321881.5,1138773000,1394.4716777808214,-102798.0,569963790,1018.850381145536
2021-02,-596930.2999999998,9409629050,1460.3060864249896,-340739.30000000016,495503028,1494.053974941406,-187616.0,227803610,1345.19294305644,-202587.40000000002,1284213220,1917.5624361624868,-193478.0,439100950,1797.229695134492
2021-03,431591.0,1588357600,-38.422055924228516,246104.59999999998,560301634,-402.1427227544996,106110.0,481863240,149.47473619657876,133170.40000000002,-76212200,-653.775732901935,-15618.0,-499157210,-808.976305131047
