Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2020-01,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0
2020-02,-59707.770000000484,-805706700,-218.55209132335585,17318.5,-15145244,-238.51153955268046,16781.0,-54745600,-117.03515561365748,-24165.0,-109905620,-85.63477946708872,-26348.0,-203217200,-249.25055139485949
2020-03,1018871.3999999999,697841100,-717.1288011273004,103941.40000000002,77157063,-646.6245808644844,151122.0,-42761500,-412.9385474572332,114582.0,18187810,-630.0779970266012,135567.0,68108140,-620.2718192874904
2020-04,1964448.6699999995,-1752685240,-1202.6590659107321,171913.09999999998,-224662449,-1163.7739889368693,449403.0,-248175300,-796.274286773355,94775.0,-362159343,-956.6491608997487,213319.0,-355104270,-1128.0854123951149
2020-05,-216526.51999999955,-862483960,-102.0426440505853,37198.69999999995,-120527094,-281.70110400101,-56179.0,-153902000,-63.81204841984618,15545.0,-65187973,-138.65177205446275,-41052.0,-216050894,-206.5246571191501
2020-06,-52450.639999999665,-194563560,-23.29934788271885,-87592.0,-47272489,128.75047423701153,45356.0,53974400,2.316898114081141,-7186.0,-103315560,-150.63411960915573,-44272.0,29853764,118.15789787212498
2020-07,-1065931.1500000004,57454960,323.44493802880856,-38870.59999999998,107525200,319.1946754240489,-167317.0,-22087400,132.26887298568045,-69403.0,90524028,306.7491831568666,-170307.0,-82249970,271.8686753038694
2020-08,-969717.4499999997,3170336900,1387.7066466328656,-98156.19999999995,418661343,1419.6603597517774,-212949.0,1027560700,1248.31834517682,-153003.0,306059448,1315.9721326337415,-88404.79999999999,501096080,1411.9572450382282
2020-09,1024807.9700000002,3355482600,67.46592594070944,6018.4000000000815,107146536,206.04524797209342,32288.0,177622400,90.62662823921119,61698.0,120821403,-108.04151771962597,-7754.700000000012,68506510,205.08160286944712
2020-10,788677.3999999994,-7286840900,-1859.3811274641953,84030.1999999999,-673916430,-1887.4932886678023,60251.0,-1633621200,-1584.8109655590779,21975.0,-706511198,-1576.5205382330348,100470.5,-758083130,-1972.8893760770297
2020-11,-976131.9799999995,-133321600,242.95552361410728,-44899.29999999999,41957441,239.38224922576592,-253049.0,-28206800,258.4270194853925,20096.0,206907740,366.2969010895058,-14745.0,92207700,207.4807356495778
