Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2020-02,-34427.0,5591480,215.61107797227896,20187.0,204398550,149.08286250525464,305832.0999999996,743394000,193.87690011695202,-126118.0,421990810,185.72096266986284,-108612.0,-83462300,11.768420028800392
2020-03,13111.0,34718170,118.65831366202337,-62704.19999999995,-148160600,-73.7872209895055,-338393.7999999998,-629965400,-131.81821289828144,-128826.0,-142225410,-5.287247614704938,464397.0,371302550,13.76806941754046
2020-04,10627497.0,9347816050,-300.04571240448615,-843193.8,-789431250,-139.46916483903237,-1077952.6,-1003314550,-69.44484551854111,1482314.0,942114310,-125.2383101722013,690634.0,529627930,-18.183954806615702
2020-05,1446759.0,-1051149800,-190.28725687945962,447310.0,204818050,-155.75493593111537,-170143.69999999995,-365933950,-233.09074581522907,592080.0,-353815810,-181.43694104693236,196603.0,-39277030,-138.4147813589624
2020-06,-11467870.0,-8047846220,-110.6483310959187,1349205.0,623723900,-75.04068203409304,6501986.0,3074829400,-69.53591217130321,-409787.0,-986987000,-162.44371984500958,95247.0,-168112400,-154.14587275189206
2020-07,12680.0,83207320,95.48990304248684,-773557.8,-231730370,116.31909618037253,-3779433.5,-1441105500,103.92933048463777,-1397506.0,-444698700,94.89011393112116,-888806.0,-364052950,115.86773143484663
2020-08,-74887.0,155363176,286.8143955579702,-134554.80000000005,146598580,185.12294201251495,-371721.4000000004,434063600,194.94144587468236,-47950.0,649289900,233.1560350352479,-108786.0,38640500,213.0311807964872
2020-09,-17746.0,31657184,69.58742342156211,189274.6000000001,288146690,94.21755977836938,-60094.89999999991,336056300,116.55050034978319,500398.5,668184500,71.60025536422211,127076.0,207830400,168.77866891669532
2020-10,24069.0,81482760,77.97964644262856,-243297.0,-143363900,64.02590631607461,-311230.7999999998,52214300,111.57740379013319,-472993.5,-52994400,129.8562127308062,-118239.0,-82796100,67.62225408764436
2020-11,1179.0,50117580,67.17854769646829,13278.5,149034900,113.10241421142894,-14817.600000000093,184148500,67.2544142571976,576728.0,887101600,80.31668985320653,34373.0,45144400,16.805193184972723
2020-12,-113779.0,-133184900,1.8717680957684024,-1333.0,49715120,42.526860781300684,-53651.10000000009,-28351300,10.138844516849304,-729753.0,-853247500,-10.55389664899667,313081.0,362345700,32.44322842641077
2021-01,-90836.0,98255000,394.09406565019844,-273218.5,-13166920,315.67596699758633,-659573.2999999998,237083700,424.7662003214148,-442187.0,450637800,403.3598272308641,-155260.0,47968400,317.2517881025565
2021-02,-170061.0,-198929400,196.66233370978762,-174360.0,-94738900,206.52704272053688,9897.600000000093,435061100,186.09338927334124,-605837.0,-523929400,229.07713829117006,-72865.0,-16736200,140.33703423606494
2021-03,1593986.0,2000056910,-424.76211691048366,-94128.80000000005,-293216450,-209.3570692063729,787523.7999999998,787875400,-180.62072504778257,701663.5,666044650,-230.59767454630673,957656.0,925300900,-360.79720126531925
2021-04,12577540.0,9828357449,-491.10594584345154,-381279.39999999997,-752445980,-733.3260623579218,-2316566.5,-4102673340,-804.1107052536706,2283432.5,79254950,-718.2795830380966,1052754.0,16564560,-473.9587523762092
2021-05,-1574906.0,-5353876697,-309.1921958536012,488174.2,168876580,-226.20656159697825,-534993.0,-421315360,-203.17374977765485,788050.0,-896717300,-277.41144447906925,-664603.0,-904201860,-215.11247586969796
2021-06,-12151054.5,-6524855405,171.08338131934863,-59740.0,-26571850,2.600698931218517,3582049.000000001,1640479900,-50.221204704975776,-1479683.5,-777129400,-0.24280832960619136,-690118.0,-333788920,14.197953144081907
2021-07,-227491.80000000005,-103025640,106.34770456209128,580220.0,342817200,50.70822597552643,-38862.0,92572100,29.566014491456315,-1005872.0,-495623200,10.496150613617601,-904668.0,-473614280,1.3311655060635985
2021-08,54646.70000000007,155993426,177.5312985543004,56866.0,231006200,149.34332605609507,-839479.8000000007,-2119900,141.32669537312455,-60333.5,541300240,193.4667031341911,70042.0,87613900,115.8081742324706
2021-09,234292.79999999993,304057488,80.36792785075386,-111392.0,83515030,128.90429255071479,-226806.6000000001,225185000,137.97488076867626,-243706.0,69139085,90.63679991142669,259497.0,244055900,111.22439345791645
2021-10,-175938.3999999999,-186936073,5.417362468069314,-21259.0,-38039430,-17.216561973554803,553698.6999999997,428605400,0.7772682395561787,451492.0,415897485,14.554272930761158,-100402.0,-87901000,-20.665957129649655
2021-11,51124.0,73807847,24.708162992699272,-36205.0,-43392500,-12.572100602026353,640635.6000000001,397229500,-24.910768224041817,723686.0,427939990,-44.97151701599876,-47120.0,-3600500,56.06901329808636
2021-12,-254355.40000000002,-314581832,-65.28785957533137,-552332.0,-515858500,-138.53801034215553,-1428671.4,-1500366800,-178.7443251904109,-1345307.0,-1435038233,-146.7333292871923,-58736.0,-109246700,-127.98865279482925
2022-01,74550.59999999998,-98713651,-319.13874138192375,1050980.0,504649200,-99.55649399830168,1582635.4,465020600,-107.45528056085789,1055058.0,207153833,-130.32087480755644,680810.0,282333400,-142.30114626854174
