Month,Seoul_amount_grade,Seoul_allpay_grade,Seoul_pay_grade,Busan_amount_grade,Busan_allpay_grade,Busan_pay_grade,Daegu_amount_grade,Daegu_allpay_grade,Daegu_pay_grade,Daejeon_amount_grade,Daejeon_allpay_grade,Daejeon_pay_grade,Gwangju_amount_grade,Gwangju_allpay_grade,Gwangju_pay_grade
2020-02,-1380.0,-293000,1223.1343283582091,69118.40000000002,-33045870,-552.5561404347354,96750.0,-22377300,-584.0976650750399,0.0,0,0.0,2490.0,4942100,-406.24408510638295
2020-03,-40.0,-2115000,-1546.2112514351322,539747.6,174439762,-1371.1448752832432,714542.0,408927200,-1264.9622269095462,1520.0,2064200,1358.0263157894738,4760.0,5633300,-611.6481598546777
2020-04,-460.0,-694500,-237.0421245421245,375371.0,-76262942,-476.41847955656294,739235.0,119686000,-538.1721554261162,-545.0,-1251700,-524.6929824561404,8980.0,4174100,-683.6093569037016
2020-05,3480.0,2041500,-204.00132275132273,78545.3999999999,952400,-58.06272961996706,180763.0,-50826100,-113.43589982141373,2485.0,2592600,150.7996146435454,-3720.0,-10076574,-321.4221685520081
2020-06,117860.0,151804500,629.0696255676204,15424.600000000093,-80586270,-64.22966658207656,403977.0,535362655,46.161231048847526,9780.0,10617850,75.00224839774364,29940.0,38447734,196.06789046078757
2020-07,65650.0,11722000,-379.71526701644825,-180497.1000000001,-41257870,103.97708291527056,-419076.0,-411659755,15.916042344931157,8575.0,6716126,-108.45557226277276,35670.0,15439560,-324.4487952823007
2020-08,-34185.0,143184500,1128.8764612318053,213655.7000000002,1446727972,786.1831450920645,-56018.0,1839293200,869.5136292329121,12065.0,39463469,826.2549980841364,-9150.0,37563540,623.8139034826501
2020-09,48837.0,136843000,190.04103071895997,-468692.90000000014,-605187388,258.82883373154755,-345071.0,-563686500,59.881935504407465,-650.0,9775505,328.93507386179294,-46360.0,-46026400,851.2047116776916
2020-10,-82334.0,-355498000,-1448.3919169261872,89376.1000000001,-1238775364,-1230.2835741190338,-234838.0,-2349222500,-1169.0508571437413,-19470.0,-59016750,-1309.2635914066163,13505.0,-18140500,-1243.4507397619836
2020-11,-105278.0,-72884500,449.2505242189644,-326016.20000000007,-102422672,233.15050466610262,-655267.0,-134832100,440.03582786363006,-13690.0,-10886100,277.6796096345514,-21705.0,-24229560,-37.72523133139998
2020-12,-14540.0,-17519500,4.080821666564589,-234319.5,207529861,790.3323117856914,-300992.0,146156800,820.6405596860141,2650.0,6015900,1165.0892857142858,-15210.0,-14139400,603.2304325514287
2021-01,-330.0,-399000,-1209.090909090909,-226882.09999999998,159880031,1596.1365926743956,-196409.0,237822200,1438.883773700225,-700.0,350200,949.3873762376238,-1500.0,-2504200,-19.757034431691864
2021-02,230.0,211000,917.391304347826,38412.40000000002,-82443085,-527.1621076119918,102195.5,-6285400,-664.0928039971459,870.0,-34800,-971.980369317208,-1400.0,-2170500,1869.5205479452054
2021-03,1115.0,2030500,749.1514465815419,452181.1,607407625,-867.6614117552199,568717.5,913187100,-644.6564236987329,470.0,495500,-162.6153402537493,4390.0,11771800,-807.4606741573034
2021-04,3076.0,7355300,504.1878530063934,257474.5,-127542580,-603.3590108307355,676798.0,212800500,-721.8471734062105,4730.0,4330200,-665.761227853317,12390.0,20552700,-760.5618911633617
2021-05,26148.0,49001000,-253.82785932520824,3225.0,-184372360,-168.03893596440594,139390.0,-5309600,-111.44235953606312,-150.0,-57700,18.962319373048558,4130.0,4819114,-150.68921341085615
2021-06,112082.0,130438100,-591.7392336642577,-28999.0,-260948700,-201.652205112837,565130.0,1526500,-315.5328910280041,16480.0,15084320,-332.06800388664374,14303.0,10125466,-435.242237087944
2021-07,136278.0,134486100,-165.29128539785847,499922.3999999999,425177900,-98.15897316317478,129283.0,103959300,-13.818725469863466,37230.0,31149030,-144.1099732778565,53237.0,31967642,-448.44433464940835
2021-08,-23779.0,-12725500,58.221052915211885,-20316.699999999953,268349200,183.86934769313575,-541786.0,-37680400,259.5438970670682,-1733.0,10177850,196.79893670428999,-433.0,21573118,249.34749723817777
2021-09,6498.0,66686500,224.61983228055715,-559851.2,-334678100,358.82570615941404,-253977.0,-137963600,108.89507887979266,-1862.0,23535908,441.58510020508425,-54277.0,-47708820,430.2999656567315
2021-10,-180276.0,-237575500,276.6436704581731,-219278.5,-76315650,346.36390529310756,-497301.0,-130614700,436.7272651434828,-45315.0,-74281108,-247.7135353567037,-5570.0,14535400,826.0955563660293
2021-11,-58807.0,-64128000,1638.9193100894447,-288398.0,-207195250,699.6862975473236,-553795.0,-334159600,896.0067937937449,-10360.0,-10800800,1215.828793055684,-14268.0,-24649570,690.5423101507799
2021-12,-19695.0,-69492500,-1167.6837567970501,-175737.0,-466404350,0.40101638028363595,-391203.0,-1023433600,155.01008806843902,-2380.0,-6039700,-2537.6890756302523,-10122.0,-35043150,-970.527603942845
2022-01,10220.0,21244000,-87.38377834504126,155432.0,696615220,580.1234176162397,147779.0,637772800,377.13531545818796,800.0,2559400,3199.25,-2300.0,-4178000,458.26400162337677
2022-02,-2560.0,-3321500,195.8892596147498,-63605.0,-412519690,-485.52486371586883,124197.0,15092300,-591.9536967973536,-340.0,-1386000,-648.3804347826085,1060.0,950700,-686.854145854146
2022-03,3610.0,1601500,-473.70884829630654,311640.6,789377070,-91.60974742535336,456333.0,1267906300,26.48534156593314,500.0,1090800,-192.32789855072497,3570.0,10580400,618.4884677720981
2022-04,1390.0,1707500,-53.431465858388265,394852.4,-94322850,-1010.2418251753932,597160.0,-220152000,-1078.2717321410769,2370.0,2945100,-794.1873123123121,23740.0,35818500,-797.2663912862301
2022-05,9090.0,5675000,-423.7243578242469,331553.0,-76913100,-425.78013757898225,897130.0,189792400,-496.72882745768857,1030.0,-100200,-392.54242774884983,6550.0,-7541800,-515.1273467504361
2022-06,41960.0,57098500,7.909842096105649,-250299.0,-44095600,215.7299658017796,-437200.0,198691500,324.5183407204579,28790.0,45979900,369.33437807021187,1700.0,14942900,338.0878214659872
2022-07,74105.0,256856500,1111.4157446155639,-78053.0,1149739172,1111.3752624231809,-341224.0,1666440200,1181.7459127099603,6000.0,42826600,857.7195957074252,48782.0,160716610,985.0643437223412
2022-08,38125.0,98230500,23.23596778588353,285110.0,-228924472,-672.7628088095707,159131.0,-932621500,-679.0693495459848,29959.5,39943465,-461.9532472746689,8820.0,-9541950,-332.1126566760531
2022-09,90763.0,-52869500,-1034.7531065806604,-394786.19999999995,-1100494700,-350.63784471167855,-186887.0,-1509258300,-627.3445487746142,18106.5,-17623399,-604.1793702245982,-39764.0,-90817060,-65.327519875897
2022-10,-138133.0,-219444000,-139.3533689391952,34238.19999999995,-86141400,-130.54215394791913,-262993.0,-346937300,7.699447328209999,-53318.0,-73014016,-57.68313243252055,-518.0,-30172000,-523.980419220349
2022-11,-110390.0,-151798500,-306.37943416466317,-214571.0,-423015550,-146.22051767652306,-535425.0,-841998900,-105.78362210330238,-30618.0,-39434150,-120.32454069525647,-36780.0,-63765500,-257.86290959983626
2022-12,-21050.0,-21267000,-1010.3087885985748,-317595.0,420111100,1547.2849897195065,-401407.5,568987650,1758.7349687127999,-2300.0,-1060900,1627.5192882030865,-13250.0,-12451200,984.6802237158415
2023-01,3430.0,9907000,2888.338192419825,-135266.09999999998,194305150,1458.2554989410319,-171975.2,178925890,1586.8959786084042,-980.0,-2726600,-2782.244897959184,-5450.0,-12695300,-2329.412844036697
2023-02,-2270.0,-6589000,-27.993364833618216,-8148.600000000035,42977650,201.9513197391716,-4090.2999999999884,-36345340,-40.046102146013254,570.0,2740600,4808.070175438596,460.0,1794000,3900.0
2023-03,-303.0,-932000,-76.2141391381324,393468.7,583750950,-1503.6469901365476,565151.0,1165591600,-1415.9564467522055,2120.0,4892200,-1970.5980564794886,200.0,319200,-698.181818181818
2023-04,-787.0,-2260000,-984.1306884480746,312589.1000000001,-123112300,-959.3035052421772,495848.0,-139408100,-1138.1245995053284,910.0,-812800,-943.0276745146634,17220.0,42555700,-703.5575554199718
2023-05,23590.0,31925000,-445.3508030431108,341074.2999999998,-207153700,-619.6645720378401,790022.0,61837000,-669.8940498437212,8910.0,8094800,-702.2142286171063,19610.0,29669800,-515.3665213035183
2023-06,72960.0,71759000,-280.2339620158832,-34894.69999999995,-185223600,-98.28772546077425,368478.0,149853900,-130.60276265589755,26150.0,22204273,-232.08864831569804,-15.0,-22707980,-605.1564133001623
2023-07,33830.0,135960000,763.6069957987411,-78366.59999999986,255468100,269.606505222672,-666740.0,171891800,494.46784609314,8692.5,34452032,551.3119988259346,62371.0,80195500,-57.44223679382844
2023-08,-70632.0,-148167000,-306.66043328747514,-773491.7000000001,-1216948000,-39.83352048582287,-1173578.0,-1968100600,50.25721656941414,-27282.5,-44897405,-182.42018317863085,-55778.0,-77166640,-79.94917198354597
