DATE,총거래물량,총거래금액,평균거래금액
2020-01,2780377.6500000004,9830108400,3535.5299306193165
2020-02,2720669.88,9024401700,3316.9778392959606
2020-03,3739541.2800000003,9722242800,2599.8490381686597
2020-04,5703989.949999999,7969557560,1397.189972257928
2020-05,5487463.43,7107073600,1295.1473282073428
2020-06,5435012.79,6912510040,1271.8479803246241
2020-07,4369081.64,6969965000,1595.2929183534325
2020-08,3399364.19,10140301900,2982.999564986298
2020-09,4424172.16,13495784500,3050.4654909270075
2020-10,5212849.56,6208943600,1191.0843634628122
2020-11,4236717.58,6075622000,1434.0398870769195
2020-12,3592812.1899999995,8326873300,2317.647808915946
2021-01,2515752.2800000003,9552292700,3796.9925639896464
2021-02,2784898.8,9301821850,3340.093309674305
2021-03,3687099.34,9773525250,2650.735537274675
2021-04,5199504.12,8397347080,1615.0284500591952
2021-05,4877778.4,8370913570,1716.1324036368687
2021-06,4793488.4,7282610250,1519.2714871282467
2021-07,4644589.35,4126580450,888.4704629484629
2021-08,3756797.2199999997,6405382590,1705.011533734046
2021-09,4588209.55,9799784380,2135.8624258998807
2021-10,3629822.45,8101611660,2231.958111339578
2021-11,3600907.58,8648078750,2401.6386307809653
2021-12,2095295.27,6781030640,3236.312674919559
2022-01,2826074.21,11059930100,3913.5313789229904
2022-02,2675632.4699999997,7577148150,2831.909178467998
2022-03,3778510.2700000005,10212341280,2702.7427611041003
2022-04,5333956.87,8716659530,1634.1826044798895
2022-05,5463470.8,7274140350,1331.4137873675468
2022-06,4157530.7,7551977950,1816.4575309089118
2022-07,3881636.81,8484135865,2185.710894729484
2022-08,3531789.62,11855329140,3356.7483954494433
2022-09,4373461.659999999,12098845400,2766.4231084170524
2022-10,4230645.5,8675414400,2050.612465639109
2022-11,4390622.58,6394509650,1456.4015771084564
2022-12,3148367.93,8430369900,2677.6952654323345
2023-01,2547523.26,9917351050,3892.938371051419
2023-02,2291128.46,9745524250,4253.59137217474
2023-03,3499417.85,11626881000,3322.5186297772357
2023-04,4256007.569999999,9463875000,2223.650885094643
2023-05,5031917.64,10053772750,1998.0002594001123
2023-06,5310808.58,8540299650,1608.0978105974214
2023-07,4200366.52,7128554702,1697.1268264465646
2023-08,1069406.41,1912633300,1788.4999398872128
